Canadian Province/CMA,Gender,Mother tongue,Population,Province
Nova Scotia,Men+,Turkish,50,Nova Scotia
Nova Scotia,Men+,"Turkic languages, n.i.e.",15,Nova Scotia
Nova Scotia,Women+,English,3230,Nova Scotia
Nova Scotia,Women+,French,190,Nova Scotia
Nova Scotia,Women+,Oromo,20,Nova Scotia
Nova Scotia,Women+,Somali,25,Nova Scotia
Nova Scotia,Women+,Amharic,10,Nova Scotia
Nova Scotia,Women+,Arabic,1525,Nova Scotia
Nova Scotia,Women+,Hebrew,60,Nova Scotia
Nova Scotia,Women+,Tigrigna,10,Nova Scotia
Nova Scotia,Women+,Vietnamese,95,Nova Scotia
Nova Scotia,Women+,"Bisaya, n.o.s.",60,Nova Scotia
Nova Scotia,Women+,Cebuano,90,Nova Scotia
Nova Scotia,Women+,Hiligaynon,10,Nova Scotia
Nova Scotia,Women+,Ilocano,40,Nova Scotia
Nova Scotia,Women+,Indonesian,30,Nova Scotia
Nova Scotia,Women+,"Tagalog (Pilipino, Filipino)",905,Nova Scotia
Nova Scotia,Women+,"Austronesian languages, n.i.e.",30,Nova Scotia
Nova Scotia,Women+,"Creole languages, n.i.e.",35,Nova Scotia
Nova Scotia,Women+,Kannada,25,Nova Scotia
Nova Scotia,Women+,Malayalam,265,Nova Scotia
Nova Scotia,Women+,Tamil,140,Nova Scotia
Nova Scotia,Women+,Telugu,155,Nova Scotia
Nova Scotia,Women+,Albanian,55,Nova Scotia
Nova Scotia,Women+,Slavic languages,390,Nova Scotia
Nova Scotia,Women+,Bulgarian,15,Nova Scotia
Nova Scotia,Women+,Macedonian,15,Nova Scotia
Nova Scotia,Women+,Polish,15,Nova Scotia
Nova Scotia,Women+,Russian,300,Nova Scotia
Nova Scotia,Women+,Serbo-Croatian,25,Nova Scotia
Nova Scotia,Women+,Serbian,20,Nova Scotia
Nova Scotia,Women+,Ukrainian,15,Nova Scotia
Nova Scotia,Women+,German,80,Nova Scotia
Nova Scotia,Women+,Afrikaans,25,Nova Scotia
Nova Scotia,Women+,Dutch,20,Nova Scotia
Nova Scotia,Women+,Icelandic,10,Nova Scotia
Nova Scotia,Women+,Bengali,210,Nova Scotia
Nova Scotia,Women+,Gujarati,190,Nova Scotia
Nova Scotia,Women+,Hindi,510,Nova Scotia
